C:\Nolek\Logs\2022-0772_C1_230227.csv;120 Bar;60 Liter;Room GR1.1
Log Time;StepNo;CircuitName;TMP1;TMP2;B31;B32;B21;B22;P101;RegulatorSP;RegulatorFB
27/02/2023 17.38.23;26000;R1.1;20,29;20,24;20,00758;19,5051;67,87827;62,71104;109,5517;66;0
27/02/2023 17.38.53;26000;R1.1;20,29;20,24;20,00758;19,5051;67,8898;62,65335;110,0131;66;0
27/02/2023 17.39.23;26000;R1.1;20,29;20,24;20,00758;19,5051;67,89556;62,59565;110,4383;66;0
27/02/2023 17.39.53;26000;R1.1;20,29;20,25;20,00758;19,5051;67,90133;62,54949;110,8906;66;0
27/02/2023 17.40.23;26000;R1.1;20,29;20,25;20,00758;19,5051;67,90133;62,50911;111,3611;66;0
27/02/2023 17.40.54;26000;R1.1;20,29;20,25;20,00758;19,5051;67,90133;62,46295;111,8044;66;0
27/02/2023 17.41.24;26000;R1.1;20,28;20,25;20,00758;19,5051;67,90133;62,42256;112,2387;66;0
27/02/2023 17.41.54;26000;R1.1;20,28;20,25;20,00758;19,5051;67,91286;62,3764;112,691;66;0
27/02/2023 17.42.25;26000;R1.1;20,28;20,25;20,00758;19,60459;67,91286;62,3187;113,1524;66;0
27/02/2023 17.42.55;26000;R1.1;20,28;20,25;20,00758;19,60459;67,91862;62,27254;113,6229;66;0
27/02/2023 17.43.25;26000;R1.1;20,28;20,24;20,00758;19,60459;67,92439;62,21485;114,0752;66;0
27/02/2023 17.43.55;26000;R1.1;20,28;20,25;20,00758;19,60459;67,92439;62,18023;114,5366;66;0
27/02/2023 17.44.25;26000;R1.1;20,27;20,25;20,00758;19,60459;67,93591;62,13984;114,989;66;0
27/02/2023 17.44.55;26000;R1.1;20,27;20,24;20,00758;19,60459;67,93591;62,09945;115,4504;66;0
27/02/2023 17.45.25;26000;R1.1;20,28;20,24;20,00758;19,60459;67,93591;62,0533;115,8937;66;0
27/02/2023 17.45.56;26000;R1.1;20,28;20,24;20,00758;19,60459;67,93591;62,00714;116,3461;66;0
27/02/2023 17.46.26;26000;R1.1;20,28;20,24;20,00758;19,60459;67,94167;61,97252;116,7984;66;0
27/02/2023 17.46.56;26000;R1.1;20,27;20,24;20,00758;19,70408;67,9532;61,92059;117,2508;66;0
27/02/2023 17.47.26;26000;R1.1;20,27;20,24;20,00758;19,70408;67,94744;61,88021;117,685;66;0
27/02/2023 17.47.56;26000;R1.1;20,27;20,24;20,00758;19,70408;67,95897;61,82828;118,1283;66;0
